threshold	tp	fp	fn	tn	accuracy	precision	recall	f1	f0_5	predicted_matches
0.82	3260	177	159	78160	0.9958902098928519	0.9485016002327611	0.9534951740274934	0.9509918319719952	0.9494961262888097	3437
0.81	3263	183	156	78154	0.9958535153383238	0.9468949506674406	0.9543726235741445	0.9506190823015296	0.9483810963204093	3446
0.8	3269	195	150	78142	0.9957801262292676	0.9437066974595842	0.9561275226674466	0.949876507336917	0.9461649782923298	3464
0.79	3271	205	148	78132	0.9956822740838593	0.94102416570771	0.9567124890318807	0.9488034807831761	0.9441205333949085	3476
0.78	3273	219	146	78118	0.9955354958657469	0.9372852233676976	0.9572974553963147	0.9471856460714803	0.9412204520618853	3492
0.77	3276	230	143	78107	0.9954376437203386	0.9343981745579008	0.9581749049429658	0.9461371841155236	0.9390586481683199	3506
0.76	3280	236	139	78101	0.9954131806839865	0.9328782707622298	0.9593448376718339	0.9459264599855804	0.9380541097065721	3516
0.75	3283	247	136	78090	0.9953153285385782	0.930028328611898	0.9602222872184849	0.9448841559936682	0.9359142482467643	3530
0.74	3292	260	127	78077	0.9952664024658741	0.9268018018018018	0.9628546358584381	0.9444842920671351	0.9337947466954104	3552
0.73	3293	273	126	78064	0.9951196242477617	0.9234436343241728	0.9631471190406552	0.9428775948460989	0.9311202850195103	3566
0.72	3297	283	122	78054	0.9950462351387054	0.920949720670391	0.9643170517695232	0.942134590655808	0.9293083037375276	3580
0.71	3299	290	120	78047	0.9949850775478253	0.9191975480635275	0.9649020181339573	0.9414954337899543	0.9279887482419128	3589
0.7	3303	297	116	78040	0.9949483829932971	0.9175	0.9660719508628254	0.9411597093603078	0.9268196868511139	3600
0.69	3307	312	112	78025	0.9948138362933607	0.9137883393202542	0.9672418835916935	0.9397556123898836	0.924001117630623	3619
0.68	3307	330	112	78007	0.9945936689661921	0.9092658784712675	0.9672418835916935	0.937358276643991	0.9202983247064063	3637
0.67	3309	347	110	77990	0.9944101961935515	0.9050875273522976	0.9678268499561276	0.9354063604240282	0.9169761126198526	3656
0.66	3312	360	107	77977	0.9942878810117912	0.9019607843137255	0.9687042995027786	0.9341418699760259	0.9145634285083116	3672
0.65	3316	369	103	77968	0.994226723420911	0.8998643147896879	0.9698742322316467	0.9335585585585585	0.9130458725700753	3685
0.64	3319	387	100	77950	0.9940432506482705	0.8955747436589314	0.9707516817782977	0.9316491228070175	0.9096639807049277	3706
0.63	3321	398	98	77939	0.9939331669846861	0.8929819844044098	0.9713366481427318	0.930512748669095	0.9076250341623395	3719
0.62	3326	411	93	77926	0.9938353148392779	0.89001873160289	0.9727990640538169	0.9295695919508105	0.9054282136440355	3737
0.61	3327	425	92	77912	0.9936763051029894	0.886727078891258	0.973091547236034	0.927904058011435	0.9027513974059803	3752
0.6	3333	447	86	77890	0.9934806008121728	0.8817460317460317	0.974846446329336	0.9259619391582163	0.8989157991261665	3780
0.59	3333	465	86	77872	0.9932604334850041	0.8775671406003159	0.974846446329336	0.92365248718304	0.8954381817204878	3798
0.58	3335	485	84	77852	0.9930402661578355	0.8730366492146597	0.9754314126937701	0.9213979831468434	0.8917589175891757	3820
0.57	3335	508	84	77829	0.9927589412397867	0.8678116055165236	0.9754314126937701	0.9184797576425228	0.8873929008567933	3843
0.56	3336	526	83	77811	0.9925510054307941	0.8638011393060591	0.9757238958759872	0.9163576431808819	0.8840833200826842	3862
0.55	3337	548	82	77789	0.9922941435490973	0.858944658944659	0.9760163790582042	0.9137458926615554	0.8800569650298011	3885
0.54	3338	566	81	77771	0.9920862077401047	0.8550204918032787	0.9763088622404211	0.9116482315990714	0.8768058838980823	3904
0.53	3339	591	80	77746	0.9917926513038798	0.849618320610687	0.9766013454226382	0.9086950605524561	0.8723026281414911	3930
0.52	3341	616	78	77721	0.9915113263858311	0.8443265099823098	0.9771863117870723	0.9059110629067246	0.8679274692159819	3957
0.51	3343	639	76	77698	0.9912544645041342	0.8395278754394776	0.9777712781515063	0.9033914335900554	0.863958236419083	3982
0.5	3343	659	76	77678	0.9910098341406135	0.8353323338330835	0.9777712781515063	0.9009567443740736	0.860400473567715	4002
